surface_type,humidity,pt_mean,pt_sd,pt_min,pt_max
acrylic,[15-32],21.7,15,3,40.6
glass,[15-32],19.3,13.2,2.9,40.5
ceramic,[15-32],7.1,4,3.8,15
laminate,[15-32],5.4,3.6,1,10
stainless steel,[15-32],6.9,8.9,1.4,24.2
granite,[15-32],10.2,5,4.8,16.9
cotton,[15-32],0.03,0.02,0.01,0.1
polyester,[15-32],0.3,0.2,0.1,0.7
paper_currency,[15-32],0.4,0.4,0.1,0.9
acrylic,[40-65],79.5,21.2,54.1,100
glass,[40-65],67.3,25,37.4,96.9
ceramic,[40-65],41.2,18.8,18.7,74.7
laminate,[40-65],63.5,24,36.2,100
stainless steel,[40-65],37.4,16,19.5,62.4
granite,[40-65],30,24.3,4.9,59.3
cotton,[40-65],0.3,0.3,0.04,0.6
polyester,[40-65],2.3,0.8,1.2,3.2
paper_currency,[40-65],0.7,0.5,0.1,1.5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,